Entry	Entry name
Q9FBB7	ACCA_STRPN
P0CC08	ACCD_STRPN
P63413	ACKA_STRPN
P0A2W6	ACPS_STRPN
P0A2W0	ACP_STRPN
O05703	ADCA_STRPN
P0A2U6	ADCC_STRPN
Q97QP9	ADDA_STRPN
Q97QQ0	ADDB_STRPN
Q97RA4	AGUA_STRPN
P0A4S1	ALF_STRPN
P35592	ALIA_STRPN
P0A4G0	ALIB_STRPN
P0A2W8	ALR_STRPN
P06653	ALYS_STRPN
P18791	AMIA_STRPN
P0A4M7	AMIC_STRPN
P0A4M9	AMID_STRPN
P0A2U8	AMIE_STRPN
P18766	AMIF_STRPN
P63544	APT_STRPN
Q97NA4	ARCA_STRPN
P0A2Y2	ARGR_STRPN
Q9S400	AROA_STRPN
Q97Q56	AROB_STRPN
P0A2Y6	AROC_STRPN
P63588	AROD_STRPN
P63595	AROE_STRPN
Q97NQ0	ASNA_STRPN
P0A2Y8	ATP6_STRPN
Q97PT4	ATPA_STRPN
Q97PT6	ATPB_STRPN
P0A2Z4	ATPD_STRPN
P63667	ATPE_STRPN
P0A2Z2	ATPF_STRPN
Q97PT5	ATPG_STRPN
P0A306	ATPL_STRPN
P58313	CAP4C_STRPN
Q97QX6	CAPP_STRPN
P63733	CARA_STRPN
Q97QE4	CARB_STRPN
Q97PP9	CCA_STRPN
Q97NV3	CH10_STRPN
P0A335	CH60_STRPN
P0A4I5	CIAH_STRPN
P0A4H7	CIAR_STRPN
P54184	CINA_STRPN
P35594	CLPE_STRPN
P63787	CLPP_STRPN
P63791	CLPX_STRPN
Q97RH6	COAA_STRPN
Q97NQ2	COAD_STRPN
Q97R60	COAE_STRPN
Q97PM1	CODY_STRPN
Q03727	COMA_STRPN
P36498	COMB_STRPN
Q9AHD4	CPSB_STRPN
Q97SJ6	CPSC_STRPN
Q9AHD2	CPSD_STRPN
Q97QC5	CRCB1_STRPN
Q97QC4	CRCB2_STRPN
P0A4D7	CSHA_STRPN
P72507	CSP2_STRPN
Q97R25	DAPA_STRPN
P63895	DAPB_STRPN
Q97NE7	DAPEL_STRPN
Q97NE6	DAPH_STRPN
P0CB57	DDL_STRPN
Q9F2F0	DEF_STRPN
Q97RI6	DEOB_STRPN
Q97RH2	DEOC_STRPN
P64062	DER_STRPN
Q54796	DEXB_STRPN
P05382	DHPS_STRPN
Q97RU7	DIVIB_STRPN
P0A398	DLTA_STRPN
P63957	DLTC_STRPN
O08397	DNAA_STRPN
P95830	DNAJ_STRPN
P95829	DNAK_STRPN
Q97QT2	DNLJ_STRPN
P0A3T4	DPND_STRPN
P59199	DPO1_STRPN
O06672	DPO3B_STRPN
Q97SQ2	DPO3_STRPN
Q97SC7	DPO4_STRPN
Q97PH3	DTD_STRPN
Q54801	DYR_STRPN
Q97N50	ECFA1_STRPN
Q97N51	ECFA2_STRPN
P64022	EFG_STRPN
P64042	EFP_STRPN
P0A3B7	EFTS_STRPN
P64030	EFTU_STRPN
P64072	ENGB_STRPN
Q97QS2	ENO_STRPN
Q03159	EPUA_STRPN
P0A3C3	ERA_STRPN
Q97QJ8	EX7L_STRPN
P67465	EX7S_STRPN
P0A2X3	EXOA_STRPN
P35597	EXP7_STRPN
P35598	EXP8_STRPN
Q97RK0	EZRA_STRPN
P0A3C5	FABH_STRPN
P59201	FABZ_STRPN
Q97PP0	FENR_STRPN
Q97PA6	FMT_STRPN
Q97RI9	FOLD_STRPN
Q97R61	FPG_STRPN
Q97SS2	FSA_STRPN
Q97QI2	FTHS_STRPN
O69076	FTSH_STRPN
P64166	FTSK_STRPN
Q97N97	FUCI_STRPN
O54537	G6PD_STRPN
Q97NG0	G6PI_STRPN
Q97NZ6	GAL1_STRPN
Q97P15	GALT1_STRPN
Q97NZ7	GALT2_STRPN
Q97SE6	GATA_STRPN
Q97SE7	GATB_STRPN
Q97SE5	GATC_STRPN
Q97PK0	GCH1L_STRPN
P51595	GCH1_STRPN
Q2MGH6	GH101_STRPN
Q97QS5	GLGA_STRPN
Q97QS8	GLGB_STRPN
Q97QS7	GLGC_STRPN
Q97PP4	GLMM_STRPN
Q97SQ9	GLMS_STRPN
Q97R46	GLMU_STRPN
P0A3Q7	GLPF_STRPN
P63742	GLPK_STRPN
P35596	GLPO_STRPN
Q97R16	GLYA_STRPN
Q97PN8	GNGF_STRPN
Q97NF1	GPDA_STRPN
P0A3Y3	GPMA_STRPN
Q97SI9	GPSB_STRPN
Q97PT2	GREA_STRPN
Q97S73	GRPE_STRPN
P64297	GUAA_STRPN
Q97QG5	GUAC_STRPN
P72524	GYRA_STRPN
P0A4L9	GYRB_STRPN
Q97R30	HEMH_STRPN
P0A3R3	HEXA_STRPN
P0A3R1	HEXB_STRPN
Q97Q18	HPRK_STRPN
Q97TC4	HPRT_STRPN
Q9X4R2	HRCA_STRPN
P64403	HSLO_STRPN
Q97QD6	HTPX_STRPN
Q54873	HYSA_STRPN
Q97SH8	IDI2_STRPN
P65121	IF1_STRPN
Q97S57	IF2_STRPN
P65144	IF3_STRPN
Q97QP7	IGA1A_STRPN
Q97SD7	ILVC_STRPN
P65159	ILVD_STRPN
Q97P97	IOJAP_STRPN
Q97QE5	TARI_STRPN
Q97SR4	ISPT_STRPN
Q97SU1	KAD_STRPN
Q97PK6	KCY_STRPN
Q97PA3	KGUA_STRPN
P0A3L7	KHSE_STRPN
Q97R22	KITH_STRPN
P65239	KPRS1_STRPN
P65241	KPRS2_STRPN
Q97R91	KTHY_STRPN
Q97QL0	LACA_STRPN
Q97QL1	LACB_STRPN
Q97QL2	LACC_STRPN
Q97QL3	LACD_STRPN
Q97SA9	LACG1_STRPN
Q97QL9	LACG2_STRPN
P0A3M9	LDH_STRPN
Q97QK5	LEPA_STRPN
O07344	LEP_STRPN
Q97QF9	LEUD_STRPN
Q97Q19	LGT_STRPN
P65334	LUXS_STRPN
P59205	LYTB_STRPN
P59203	MALA_STRPN
P0A4N1	MALC_STRPN
P0A4N3	MALD_STRPN
P0A3Q0	MALQ_STRPN
