Entry	Entry name
P14909	AAT_SULSO
Q97ZL0	ACYP_SULSO
P39462	ADH_SULSO
Q97U94	AGAL_SULSO
P0CD66	AGLU_SULSO
Q97ZX2	ALAXM_SULSO
P60849	ALBA1_SULSO
Q97ZF4	ALBA2_SULSO
P95896	AMID_SULSO
Q9UX78	AMZA_SULSO
Q97ZW4	APBC_SULSO
Q97VF1	APE1_SULSO
P95928	APE2_SULSO
Q980A0	APGM_SULSO
Q97U96	ARAD_SULSO
Q9UX79	ARCH_SULSO
Q980X0	LYSZ_SULSO
Q980X1	LYSY_SULSO
Q9UWU1	ARGDC_SULSO
Q7SI94	LYSJ_SULSO
Q9UX32	ARLY_SULSO
Q980I5	AROA_SULSO
Q980I9	AROB_SULSO
Q980I7	AROC_SULSO
Q980I4	AROD_SULSO
Q980I8	AROE_SULSO
Q9UX31	ASSY_SULSO
Q980L7	ATGT_SULSO
Q97Z43	AUBA_SULSO
P22498	BGAL_SULSO
Q9UXB9	BRIX_SULSO
Q97WG4	CAPPA_SULSO
Q59968	CARA_SULSO
Q59969	CARB_SULSO
Q97YC1	CAS1A_SULSO
Q97Y84	CAS1B_SULSO
Q97YC2	CAS2A_SULSO
Q97Y85	CAS2B_SULSO
Q97TX9	CAS4_SULSO
Q97Y92	CAS5A_SULSO
Q97YC6	CAS5B_SULSO
Q97WW2	CAS5C_SULSO
Q97Y96	CAS6A_SULSO
Q97WV8	CAS6B_SULSO
Q980B1	CBIA_SULSO
Q97WC6	CBID_SULSO
Q97WC7	CBIT_SULSO
Q980A7	CBIX_SULSO
P80092	CBPX1_SULSO
P58156	CBPX2_SULSO
P58029	CBSA_SULSO
P58030	CBSB_SULSO
Q97Z92	CCA_SULSO
Q980N4	CDC61_SULSO
Q9UXF8	CDC62_SULSO
Q97WM8	CDC63_SULSO
Q9UXG3	CDPAS_SULSO
P80148	CISY_SULSO
Q97WX2	CMR1_SULSO
Q97WX0	CMR2_SULSO
Q97WW9	CMR3_SULSO
Q97WX4	CMR4_SULSO
Q97WX3	CMR5_SULSO
Q97WX1	CMR6_SULSO
Q97WX5	CMR7A_SULSO
Q97XK8	CMR7B_SULSO
Q97TZ6	COBS_SULSO
Q9UX46	COXX_SULSO
Q97ZE3	CREN7_SULSO
Q97WW0	CS3HD_SULSO
Q97YD4	CSA1_SULSO
Q97YC7	CSA2A_SULSO
Q97Y91	CSA2B_SULSO
Q97Y88	CSA3_SULSO
Q97YC8	CSA5A_SULSO
Q97Y90	CSA5B_SULSO
Q980J9	CSL4_SULSO
Q97YD5	CSX1_SULSO
Q980T7	DCD_SULSO
Q9UWY6	DGGGP_SULSO
P80053	DHE2_SULSO
Q97ZF1	DHYS_SULSO
P95862	DLHH_SULSO
Q97UL5	DMD_SULSO
P61991	DN7A_SULSO
P39476	DN7D_SULSO
P95980	DNAG_SULSO
Q980T8	DNLI_SULSO
Q97TX8	DPHB_SULSO
Q97W02	DPO4_SULSO
P26811	DPOL1_SULSO
Q07635	DPOL2_SULSO
P95979	DPOL3_SULSO
P95855	DPS_SULSO
Q97WI2	DTDA_SULSO
P35021	EF1A_SULSO
Q64214	EF1B_SULSO
P30925	EF2_SULSO
Q97ZY3	ENDA_SULSO
Q97ZJ3	ENO_SULSO
Q97V15	FDHD_SULSO
Q97WJ5	FENR_SULSO
Q980U8	FEN_SULSO
P58032	FLPA_SULSO
P39461	FUMC_SULSO
Q9UXE7	G1PDH_SULSO
P39460	G3P_SULSO
Q97U27	GAD_SULSO
Q97U30	GAPN_SULSO
Q97ZG1	GATA_SULSO
Q980Q3	GATB_SULSO
Q97ZG0	GATC_SULSO
Q97ZH5	GATD_SULSO
Q97ZH6	GATE_SULSO
Q980E8	GCH1_SULSO
Q980B6	GCH3_SULSO
Q97ZI6	GCSH1_SULSO
Q97Z69	GCSH2_SULSO
Q97Z34	GCSH3_SULSO
Q97ZI8	GCSPA_SULSO
Q97ZI9	GCSPB_SULSO
Q980N1	GGGPS_SULSO
P95999	GGPS_SULSO
Q7LYI9	GLCD1_SULSO
Q97UH6	GLCD2_SULSO
Q97U21	GLCD3_SULSO
P23794	GLNA_SULSO
Q97XW1	GLPK1_SULSO
P95907	GLPK2_SULSO
Q9UWT5	GLYA_SULSO
P96000	GPT_SULSO
Q980U5	GSA_SULSO
Q97VZ9	GUAAA_SULSO
Q97TZ8	GUAAB_SULSO
Q97VY9	HELS_SULSO
P95949	HELX_SULSO
Q980U7	HEM1_SULSO
Q980U4	HEM3_SULSO
Q97WG8	HERA_SULSO
Q97W92	HEXPP_SULSO
Q980M3	HFLX_SULSO
O33771	HIS1_SULSO
O33776	HIS2_SULSO
O33778	HIS3_SULSO
O33772	HIS4_SULSO
O33777	HIS5_SULSO
O33774	HIS6_SULSO
O33773	HIS7_SULSO
O33770	HIS8_SULSO
O33775	HISX_SULSO
Q7LXU0	HJC_SULSO
Q97YX6	HJE_SULSO
O08424	HMDH_SULSO
Q97ZE0	HOSA_SULSO
Q97X95	HTPX1_SULSO
Q97TZ9	HTPX2_SULSO
P95997	IDI2_SULSO
Q97W62	IF1A_SULSO
Q97Z79	IF2A_SULSO
Q97W59	IF2B_SULSO
Q980A5	IF2G_SULSO
Q980Q8	IF2P_SULSO
Q97ZE8	IF5A_SULSO
Q980G0	IF6_SULSO
Q9UWX9	ILVC_SULSO
Q97YJ9	ILVC2_SULSO
Q97X13	ILVC3_SULSO
Q97UB2	ILVD_SULSO
Q97W51	IPYR_SULSO
Q97ZW3	KAD6_SULSO
Q9UX83	KADA_SULSO
Q97ZY8	KAE1_SULSO
Q9UX81	KCY_SULSO
Q97UA0	KDAD_SULSO
Q97U28	KDGA_SULSO
Q97U29	KDGK_SULSO
Q97UA1	KGSDH_SULSO
Q97W70	KHSE_SULSO
Q97Z86	KPRS_SULSO
Q9UXG7	KTHY1_SULSO
P58157	KTHY2_SULSO
Q97W36	LEU1_SULSO
Q9UXB2	LEU3_SULSO
Q97VY2	LEUC_SULSO
Q97VY3	LEUD_SULSO
Q97U63	LIPA_SULSO
O93774	LRS14_SULSO
Q980W5	LYSK_SULSO
Q980W9	LYSM_SULSO
Q980W8	LYSW_SULSO
Q7SI95	LYSX_SULSO
P95963	MAP2_SULSO
Q9UXG1	MCM_SULSO
Q97VN4	MDH_SULSO
Q980A9	METE_SULSO
Q980S9	METK_SULSO
Q980F0	MOAA_SULSO
Q9UXF7	MOAC_SULSO
Q97WG9	MRE11_SULSO
Q97Y45	MSRA_SULSO
Q97W94	MTAP_SULSO
Q980D2	MVK_SULSO
Q97ZC4	NADA_SULSO
Q97ZC5	NADB_SULSO
Q97WN9	NADE_SULSO
Q97WJ8	NADK_SULSO
P57084	NADM_SULSO
Q97WI6	NCPP_SULSO
Q980Q7	NDK_SULSO
Q97WJ0	NEP1_SULSO
Q97VZ6	NFI_SULSO
Q9UX49	NIKR_SULSO
Q97Z78	NOP10_SULSO
Q97VX5	NPD_SULSO
